timestamp	from_account	to_account	amount	location	is_fraud
2025-06-03 08:58:50	89805536	11564107	491579	RO	0
2025-06-03 08:21:32	35431514	11806789	116473	RO	0
2025-06-03 08:27:50	27464825	16919618	662057	HU	0
2025-06-03 08:18:33	43925060	55652529	1854003	DE	1
2025-06-03 08:14:59	96145789	56485162	945389	SK	0
2025-06-03 08:40:39	46170203	58340511	856879	PL	0
2025-06-03 08:28:24	10917360	73960409	955219	HU	0
2025-06-03 08:00:49	78432021	76128498	902160	PL	0
2025-06-03 08:40:34	45227826	95463050	620527	SK	0
2025-06-03 08:16:16	84810672	80349011	698792	HU	0
2025-06-03 08:36:52	69667748	57305250	3049311	RO	1
2025-06-03 08:48:38	47732203	86729279	333134	SK	0
2025-06-03 08:51:52	63481760	86436438	347356	DE	0
2025-06-03 08:19:49	80512830	15684531	399870	HU	0
2025-06-03 08:09:57	25014102	44693890	645415	SK	0
2025-06-03 08:05:53	54908984	91365774	120574949	HU	1
2025-06-03 08:27:21	56476420	34205957	623568	DE	0
2025-06-03 08:48:47	92135465	58268072	904953	DE	0
2025-06-03 08:38:26	11093148	24431600	180867	SK	0
2025-06-03 08:56:55	51398167	21844593	56438661	DE	1
2025-06-03 08:09:35	22456213	88109103	974230	SK	0
2025-06-03 08:25:36	62583810	55593622	699908	RO	0
2025-06-03 08:25:26	32459260	38714884	81664	PL	0
2025-06-03 08:30:00	69685476	94810818	818880	SK	0
2025-06-03 08:24:59	19812843	37500699	1820341	SK	1
2025-06-03 08:51:41	82754093	50638527	65278	SK	0
2025-06-03 08:04:07	18913691	33119944	848130	PL	0
2025-06-03 08:01:30	40066976	61674733	928121	HU	0
2025-06-03 08:00:26	74077423	86939733	734187	SK	0
2025-06-03 08:36:25	37251814	69073003	1959974	HU	1
2025-06-03 08:16:12	19731745	14318959	262419	SK	0
2025-06-03 08:59:51	50282472	62096913	214019	PL	0
2025-06-03 08:02:33	38543077	57002713	394275	PL	0
2025-06-03 08:15:43	91051195	64775147	718352	HU	0
2025-06-03 08:04:57	86260413	26297889	597559	SK	0
2025-06-03 08:13:23	71922545	84366370	2468173	PL	1
2025-06-03 08:03:05	76106081	48960163	420541	DE	0
2025-06-03 08:01:38	64105454	24313229	602649	PL	0
2025-06-03 08:26:43	71385220	27493817	216288	PL	0
2025-06-03 08:56:01	85013977	77381397	657861	PL	0
2025-06-03 08:28:04	63901366	96141739	81415	DE	0
2025-06-03 08:46:37	24085714	14058953	334824	PL	0
2025-06-03 08:52:33	97623793	48949566	258452	SK	0
2025-06-03 08:06:00	14320059	99650906	200461	RO	0
2025-06-03 08:12:36	12812115	23910227	697250	PL	0
2025-06-03 08:52:03	36979164	71969890	630581	DE	0
2025-06-03 08:35:00	61879123	82177641	3643706	PL	1
2025-06-03 08:29:55	37972664	68921884	704395	RO	0
2025-06-03 08:22:29	35597600	77148449	3270647	SK	1
2025-06-03 08:03:45	98395929	62986141	465148	PL	0
2025-06-03 08:17:53	34672803	41449212	951530	DE	0
2025-06-03 08:55:33	60871723	42145019	285799	DE	0
2025-06-03 08:20:47	47683521	46614062	154349	DE	0
2025-06-03 08:04:42	21677163	84656726	728039	PL	0
2025-06-03 08:09:00	63784283	28198988	424604	RO	0
2025-06-03 08:33:02	45284804	66161871	560865	DE	0
2025-06-03 08:18:30	78982790	15529305	731975	HU	0
2025-06-03 08:52:09	35491142	10027461	445599	RO	0
2025-06-03 08:02:56	62250876	57742775	929735	DE	0
2025-06-03 08:55:59	62191235	16943966	3295702	RO	1
2025-06-03 08:00:08	63899695	16041921	180070	PL	0
2025-06-03 08:34:12	65045412	43563633	869960	SK	0
2025-06-03 08:58:33	87177283	54434336	954707	RO	0
2025-06-03 08:11:29	60217669	84663962	603895	HU	0
2025-06-03 08:16:21	38116968	56294965	949345	HU	0
2025-06-03 08:11:37	25706180	59438048	784045	RO	0
2025-06-03 08:32:32	50411097	75410056	774592	PL	0
2025-06-03 08:42:30	82708404	89946858	730690	DE	0
2025-06-03 08:02:01	68266891	46855519	972256	PL	0
2025-06-03 08:28:37	97525845	58314214	996565	DE	0
2025-06-03 08:32:05	62067838	94253354	3292487	RO	1
2025-06-03 08:25:54	96989168	94056799	133485	DE	0
2025-06-03 08:02:30	47058537	16726282	865503	RO	0
2025-06-03 08:52:14	18577613	48325587	475247	PL	0
2025-06-03 08:45:06	47395122	71266559	700186	HU	0
2025-06-03 08:24:27	28739600	68469299	3747843	DE	1
2025-06-03 08:07:13	39881799	42345762	625565	DE	0
2025-06-03 08:54:49	39039054	99634002	97580	DE	0
2025-06-03 08:44:36	41727832	45594960	529596	RO	0
2025-06-03 08:25:29	29551068	93568782	858735	DE	0
2025-06-03 08:34:15	13123220	63311130	923024	HU	0
2025-06-03 08:31:08	45659043	86678221	776543	RO	0
2025-06-03 08:39:58	80810895	86982228	172287	PL	0
2025-06-03 08:19:34	69003814	23706145	4863345	RO	1
2025-06-03 08:25:08	58670309	45391058	538132	PL	0
2025-06-03 08:49:25	89216454	60985857	231013	SK	0
2025-06-03 08:24:00	13731765	86750288	381905	DE	0
2025-06-03 08:39:41	30611963	76967701	380830	DE	0
2025-06-03 08:03:05	47058537	88381701	969596	SK	0
2025-06-03 08:06:02	41835374	10710554	622033	HU	0
2025-06-03 08:04:39	11950965	41667553	188926	SK	0
2025-06-03 08:44:59	41727832	91141758	199878	PL	0
2025-06-03 08:57:21	20946001	53733050	822500	RO	0
2025-06-03 08:11:45	65583810	11082296	124947641	PL	1
2025-06-03 08:17:39	68732901	65261540	195881	DE	0
2025-06-03 08:16:27	84279883	90592785	106851	DE	0
2025-06-03 08:48:27	24796756	33633359	276051	SK	0
2025-06-03 08:51:38	26849571	21495742	2031185	DE	1
2025-06-03 08:36:17	23362607	82406907	88472	HU	0
2025-06-03 08:41:22	69035034	78327780	583913	RO	0
2025-06-03 08:36:46	22965247	33287144	930931	RO	0
2025-06-03 08:14:31	93335670	88186136	987500	RO	0
2025-06-03 08:58:17	48007257	46676559	580714	DE	0
2025-06-03 08:34:36	39534669	48444500	668399	PL	0
2025-06-03 08:15:51	67984716	73407262	907413	DE	0
2025-06-03 08:23:41	19282342	89157956	453374	DE	0
2025-06-03 08:22:32	39408115	74971820	664043	DE	0
2025-06-03 08:43:22	47642296	81649504	693401	RO	0
2025-06-03 08:50:08	57826374	28270742	144964	RO	0
2025-06-03 08:12:07	27035347	17963642	769735	RO	0
2025-06-03 08:53:55	42968839	40232617	90454	HU	0
2025-06-03 08:14:39	69080006	29321157	343956	DE	0
2025-06-03 08:00:44	51466106	73302591	539326	RO	0
2025-06-03 08:20:05	51162677	12249963	403783	SK	0
2025-06-03 08:32:39	85601313	70942344	220727	HU	0
2025-06-03 08:20:43	79986200	37456151	712001	SK	0
2025-06-03 08:11:48	95710519	94233676	446687	SK	0
2025-06-03 08:19:39	90053505	74410821	210301	RO	0
2025-06-03 08:58:51	57603335	18651046	686877	DE	0
2025-06-03 08:09:53	12038129	64892565	82671558	SK	1
2025-06-03 08:23:46	38865652	90702764	695733	RO	0
2025-06-03 08:50:16	36168182	55007301	228098	SK	0
2025-06-03 08:36:30	90692969	84691546	354989	HU	0
2025-06-03 08:10:23	43883017	46095626	527692	HU	0
2025-06-03 08:51:08	42659529	47656699	402309	PL	0
2025-06-03 08:59:51	30477840	47304331	177016	SK	0
2025-06-03 08:45:55	69093826	80145311	137670811	DE	1
2025-06-03 08:21:12	82703305	17452554	239286	RO	0
2025-06-03 08:32:20	56898290	37604217	779579	PL	0
2025-06-03 08:05:11	91567308	57924453	688010	PL	0
2025-06-03 08:07:04	96689281	46193692	943409	SK	0
2025-06-03 08:32:52	74757247	85429252	475202	PL	0
2025-06-03 08:13:34	87538247	71011904	3625589	PL	1
2025-06-03 08:24:06	38881343	45666703	90875	RO	0
2025-06-03 08:09:31	27125655	76153394	313663	HU	0
2025-06-03 08:41:31	85809870	31519368	727775	DE	0
2025-06-03 08:33:59	41606182	23694089	67052	DE	0
2025-06-03 08:14:17	21171007	10952004	4587452	SK	1
2025-06-03 08:28:01	62205379	92652023	4244768	SK	1
2025-06-03 08:33:26	88420898	24182964	210666	SK	0
2025-06-03 08:54:16	42532833	52772099	856730	DE	0
2025-06-03 08:35:45	56620053	29052523	687992	DE	0
2025-06-03 08:47:26	19801599	60332920	439542	PL	0
2025-06-03 08:05:21	12933858	15707908	835652	SK	0
2025-06-03 08:48:47	41845375	19867709	971695	DE	0
2025-06-03 08:24:12	46708249	16284934	301418	SK	0
2025-06-03 08:30:49	88888661	80671427	782477	DE	0
2025-06-03 08:11:26	68514404	75593559	910449	SK	0
2025-06-03 08:33:09	50411097	34139113	3874343	SK	1
2025-06-03 08:41:58	64171868	83099797	3640113	SK	1
2025-06-03 08:16:58	99967811	35499350	110101	DE	0
2025-06-03 08:21:05	64501960	75152522	3209712	PL	1
2025-06-03 08:51:13	66255093	62373954	557776	RO	0
2025-06-03 08:08:27	85712982	83840640	701550	DE	0
2025-06-03 08:10:25	25014102	45482838	799316	DE	0
2025-06-03 08:49:31	41247996	49664357	7691712	DE	1
2025-06-03 08:02:49	28316036	46376775	164563	SK	0
2025-06-03 08:59:03	89805536	82228679	527867	PL	0
2025-06-03 08:06:34	20735363	60521332	804409	DE	0
2025-06-03 08:56:35	39811925	58715414	761097	DE	0
2025-06-03 08:23:20	68896476	49595305	99573	HU	0
2025-06-03 08:34:12	79240973	59906292	567853	PL	0
2025-06-03 08:21:41	66903435	37785915	3229807	DE	1
2025-06-03 08:12:02	20634169	28523985	428133	HU	0
2025-06-03 08:28:38	41897576	65003729	453436	SK	0
2025-06-03 08:19:44	17224282	30235127	386341	HU	0
2025-06-03 08:18:40	90511402	76304550	402265	HU	0
2025-06-03 08:56:03	22933190	77049810	327708	RO	0
2025-06-03 08:39:32	69730196	16184012	479266	HU	0
2025-06-03 08:55:44	31412127	20474950	133650	RO	0
2025-06-03 08:26:05	51093322	69007208	178714	SK	0
2025-06-03 08:44:45	33839511	32280110	561215	DE	0
2025-06-03 08:23:02	14385335	91989263	3874944	DE	1
2025-06-03 08:46:43	22440159	74297856	491571	DE	0
2025-06-03 08:39:21	28967694	28079541	579774	SK	0
2025-06-03 08:27:55	51404598	60644853	501285	SK	0
2025-06-03 08:22:24	55826547	89104519	305413	SK	0
2025-06-03 08:04:43	63299499	14539226	133141	DE	0
2025-06-03 08:55:55	19775165	75377043	821147	SK	0
2025-06-03 08:59:59	12167193	33021890	25568211	RO	1
2025-06-03 08:52:58	56788714	31492478	585877	DE	0
2025-06-03 08:27:46	72888116	58932909	683472	RO	0
2025-06-03 08:59:14	32863648	11660928	917765	RO	0
2025-06-03 08:14:34	87194213	96333261	93906	HU	0
2025-06-03 08:10:03	29552094	24716984	115525089	RO	1
2025-06-03 08:44:53	45396376	18335673	473946	HU	0
2025-06-03 08:36:55	37251814	14702963	89258334	RO	1
2025-06-03 08:10:41	93696003	32713278	739006	DE	0
2025-06-03 08:39:46	18899399	27485363	797881	SK	0
2025-06-03 08:01:48	98451814	77628841	4380169	RO	1
2025-06-03 08:18:19	37118112	18872253	145587	DE	0
2025-06-03 08:23:04	55826547	72983294	157849349	HU	1
2025-06-03 08:51:58	72635653	73309568	895924	SK	0
2025-06-03 08:37:48	25823229	21986611	3278795	HU	1
2025-06-03 08:31:31	47771401	97248558	732637	SK	0
2025-06-03 08:26:34	45428132	88059184	215283	DE	0
2025-06-03 08:28:19	71193228	80690153	530753	HU	0
2025-06-03 08:38:57	97128002	26986534	933783	RO	0
2025-06-03 08:42:47	35393189	54415743	112906593	SK	1
2025-06-03 08:40:09	27203849	65943468	561779	DE	0
2025-06-03 08:41:12	11024028	44349237	344390	RO	0
2025-06-03 08:35:31	89157878	52216551	928402	PL	0
2025-06-03 08:15:28	85884469	71962438	735398	DE	0
2025-06-03 08:50:32	67426411	73065784	816289	PL	0
2025-06-03 08:21:40	31363229	39786039	342124	HU	0
2025-06-03 08:30:28	95098336	38606183	965550	HU	0
2025-06-03 08:16:33	15216663	59246648	496632	SK	0
2025-06-03 08:17:40	76852730	68347117	687809	PL	0
2025-06-03 08:49:20	48379787	95979837	501307	HU	0
2025-06-03 08:20:08	31752286	94215561	395919	DE	0
2025-06-03 08:45:28	78839684	55591485	4124657	RO	1
2025-06-03 08:53:02	16766882	19272684	204465	HU	0
2025-06-03 08:38:29	99268392	93133752	800729	PL	0
2025-06-03 08:25:01	19774140	80560359	515082	RO	0
2025-06-03 08:47:03	96014538	88748613	780412	HU	0
2025-06-03 08:50:28	76294275	75305458	547493	DE	0
2025-06-03 08:37:37	69982224	45151226	767627	HU	0
2025-06-03 08:47:00	56982048	13572261	942697	HU	0
2025-06-03 08:47:09	53365559	15463407	11982	HU	0
2025-06-03 08:32:10	62067838	43736486	134697	PL	0
2025-06-03 08:18:23	24346215	46351635	803849	PL	0
2025-06-03 08:56:14	73775462	23191085	930649	SK	0
2025-06-03 08:14:12	76977591	76874778	225279	SK	0
2025-06-03 08:20:20	77199595	80922079	113218	SK	0
2025-06-03 08:56:44	80866973	54425450	645817	PL	0
2025-06-03 08:16:52	55001412	89590855	779516	SK	0
2025-06-03 08:19:50	70691878	55381585	767351	DE	0
2025-06-03 08:39:42	39574033	87340105	45381	DE	0
2025-06-03 08:29:18	91252617	60513973	258696	RO	0
2025-06-03 08:24:32	80472377	65319766	612522	PL	0
2025-06-03 08:23:04	96594247	19312115	164477558	DE	1
2025-06-03 08:36:34	21599579	11996946	972372	PL	0
2025-06-03 08:51:55	92685869	20468732	2360954	DE	1
2025-06-03 08:00:48	74077423	68663611	2813940	PL	1
2025-06-03 08:02:59	49279043	48596495	286833	HU	0
2025-06-03 08:34:58	22127975	54634182	946343	HU	0
2025-06-03 08:08:31	93258293	59553818	704913	SK	0
2025-06-03 08:09:07	55848545	58546483	2751475	RO	1
2025-06-03 08:48:27	65965763	70767988	736365	PL	0
2025-06-03 08:00:31	71057734	81508937	21552	SK	0
2025-06-03 08:13:03	86442037	14724032	177828	DE	0
2025-06-03 08:24:10	27270451	91386859	570241	DE	0
2025-06-03 08:48:41	81317614	24346372	272592	SK	0
2025-06-03 08:47:48	13457216	63619038	263743	HU	0
2025-06-03 08:27:51	97319736	62525410	833760	PL	0
2025-06-03 08:53:42	87343668	33422448	257323	SK	0
2025-06-03 08:28:15	81354783	14100141	973936	HU	0
2025-06-03 08:16:57	15216663	86256362	577188	HU	0
2025-06-03 08:12:26	14857206	36863526	1437637	PL	1
2025-06-03 08:20:54	77199595	84608898	571993	SK	0
2025-06-03 08:16:55	55001412	21734619	87184	HU	0
2025-06-03 08:33:49	69766429	85006149	24396411	DE	1
2025-06-03 08:37:08	82394269	97735205	409847	DE	0
2025-06-03 08:28:50	63050113	91754177	156089	PL	0
2025-06-03 08:13:45	33150932	59644176	425336	DE	0
2025-06-03 08:19:52	69395392	65598395	520338	PL	0
2025-06-03 08:37:52	42508505	80674833	139463	SK	0
2025-06-03 08:36:35	90804251	33290394	574725	RO	0
2025-06-03 08:45:42	96564924	44478515	617823	SK	0
2025-06-03 08:08:38	12954932	51301846	724460	SK	0
2025-06-03 08:58:44	47477759	91281848	224149	HU	0
2025-06-03 08:29:13	77430106	52567475	701601	PL	0
2025-06-03 08:41:10	95569687	34349777	980019	HU	0
2025-06-03 08:15:40	14201689	58639888	365681	PL	0
2025-06-03 08:15:55	45957233	37787357	380671	HU	0
2025-06-03 08:20:10	61881132	86241729	268962	HU	0
2025-06-03 08:39:04	37750525	62519098	814528	DE	0
2025-06-03 08:16:52	65951167	74050744	473757	HU	0
2025-06-03 08:26:45	18325286	84729361	373512	PL	0
2025-06-03 08:40:05	60649218	22843125	4641572	HU	1
2025-06-03 08:54:44	89032484	38907606	370005	HU	0
2025-06-03 08:58:20	69021070	84162653	515876	HU	0
2025-06-03 08:06:00	20295590	63187242	736407	SK	0
2025-06-03 08:09:05	78680686	78018189	733102	SK	0
2025-06-03 08:36:49	89272389	96225973	148033248	HU	1
2025-06-03 08:30:49	95098336	22801289	46804	SK	0
2025-06-03 08:05:41	81691328	26357163	312866	PL	0
2025-06-03 08:14:57	56453199	25726269	169486	SK	0
2025-06-03 08:06:31	92039751	52820455	802587	HU	0
2025-06-03 08:14:10	79799993	38836105	211428	DE	0
2025-06-03 08:38:27	94928880	40452390	82411	DE	0
2025-06-03 08:16:32	59777419	81784032	911414	SK	0
2025-06-03 08:39:23	83693989	11231727	851577	HU	0
2025-06-03 08:41:03	69034877	53166243	721010	HU	0
2025-06-03 08:49:43	13871223	44026315	3258943	RO	1
2025-06-03 08:00:13	56836502	28689194	385745	RO	0
2025-06-03 08:33:33	37778117	29329557	308871	DE	0
2025-06-03 08:04:57	31140363	22038037	834100	DE	0
2025-06-03 08:48:59	49559823	64406047	141696952	HU	1
2025-06-03 08:51:29	16769108	80600465	604397	SK	0
2025-06-03 08:17:30	21876433	58899808	2155223	HU	1
2025-06-03 08:31:30	91057294	82378652	206861	DE	0
2025-06-03 08:23:32	55868872	74414327	786649	DE	0
2025-06-03 08:11:35	82832325	48957062	497637	RO	0
2025-06-03 08:03:18	68292815	27459543	259237	HU	0
2025-06-03 08:51:46	80022172	61150692	497091	DE	0
2025-06-03 08:18:20	77521050	30544442	331893	HU	0
2025-06-03 08:54:27	63053434	98057891	489011	SK	0
2025-06-03 08:58:29	92962325	12250508	485248	HU	0
2025-06-03 08:18:38	78982790	45317393	640190	PL	0
2025-06-03 08:03:44	74219470	71275139	781225	RO	0
2025-06-03 08:51:45	26421900	50665058	175192	DE	0
2025-06-03 08:31:15	47767295	92039628	442850	DE	0
2025-06-03 08:28:10	20895794	92132457	101383524	PL	1
2025-06-03 08:35:44	68645870	48701386	414146	HU	0
2025-06-03 08:56:40	29879449	98161220	271580	RO	0
2025-06-03 08:51:56	62805178	34478990	317152	SK	0
2025-06-03 08:13:09	41782642	69115139	24683	PL	0
2025-06-03 08:23:50	93896710	71649058	212747	DE	0
2025-06-03 08:52:00	23794844	25322884	822989	PL	0
2025-06-03 08:31:53	66936689	18610656	95439	DE	0
2025-06-03 08:38:51	97988558	64505032	895530	SK	0
2025-06-03 08:07:09	56124369	76050252	407093	SK	0
2025-06-03 08:32:04	91286807	29820844	347211	SK	0
2025-06-03 08:06:51	53825363	80168052	728734	RO	0
2025-06-03 08:30:13	86129578	63655526	606360	DE	0
2025-06-03 08:09:23	67996156	22660368	479882	PL	0
2025-06-03 08:26:14	81039601	84250971	20903	PL	0
2025-06-03 08:17:51	51030609	48764242	900040	RO	0
2025-06-03 08:18:07	43953364	24080000	525887	DE	0
2025-06-03 08:53:42	36928156	47352073	365340	HU	0
2025-06-03 08:26:47	65855407	60734582	449905	SK	0
2025-06-03 08:56:21	73508645	46966136	211704	RO	0
2025-06-03 08:35:19	31987326	22090104	3640320	HU	1
2025-06-03 08:55:21	84158339	17566076	27604751	RO	1
2025-06-03 08:18:33	46251492	61271766	225354	HU	0
2025-06-03 08:22:57	47390997	53748402	448248	PL	0
2025-06-03 08:16:55	20175213	91176247	841990	RO	0
2025-06-03 08:27:47	29988463	74454844	4321960	RO	1
2025-06-03 08:34:48	21788810	17722575	320473	HU	0
2025-06-03 08:58:46	44761627	43984066	118567521	PL	1
2025-06-03 08:12:13	83551143	82455116	557524	PL	0
2025-06-03 08:10:35	18395273	95718604	874567	RO	0
2025-06-03 08:55:38	17456078	12616542	697486	HU	0
2025-06-03 08:59:23	32863648	18924221	224772	SK	0
2025-06-03 08:19:48	40404543	52727657	825196	RO	0
2025-06-03 08:54:04	65735366	48388553	291504	RO	0
2025-06-03 08:14:40	39358426	77745763	474036	PL	0
2025-06-03 08:16:24	23815473	87663292	599549	RO	0
2025-06-03 08:55:25	17334107	60965737	560617	RO	0
2025-06-03 08:36:25	79480227	21260846	554599	DE	0
2025-06-03 08:51:53	39795240	48096638	193075	DE	0
2025-06-03 08:53:38	72018271	34938396	261000	SK	0
2025-06-03 08:56:50	42567508	92065573	172902	HU	0
2025-06-03 08:04:16	99247729	14888906	81799	DE	0
2025-06-03 08:19:31	78435465	19018329	538573	SK	0
2025-06-03 08:47:18	60463788	56565334	47169	RO	0
2025-06-03 08:12:43	15140602	76914034	682035	SK	0
2025-06-03 08:35:52	54489794	40612882	50374350	PL	1
2025-06-03 08:24:27	67644660	59440270	401527	RO	0
2025-06-03 08:18:57	78982790	23542487	448235	PL	0
2025-06-03 08:50:31	39658870	90790840	687329	SK	0
2025-06-03 08:38:06	85160918	68533131	176658999	PL	1
2025-06-03 08:40:31	89128123	15339487	640526	DE	0
2025-06-03 08:10:00	14671894	24819279	705856	DE	0
2025-06-03 08:17:26	13181323	39992935	737337	PL	0
2025-06-03 08:23:17	51177309	84409885	61670	RO	0
2025-06-03 08:00:02	27333740	91601862	337151	HU	0
2025-06-03 08:32:31	71152143	71569149	81125	RO	0
2025-06-03 08:45:59	67526365	21819912	533003	DE	0
2025-06-03 08:39:30	94816510	98308511	873337	SK	0
2025-06-03 08:05:03	30069111	94321781	167083713	SK	1
2025-06-03 08:06:17	94897515	41733857	932942	PL	0
2025-06-03 08:29:24	14731379	78873221	393414	PL	0
2025-06-03 08:00:45	67519883	81676425	694363	HU	0
2025-06-03 08:52:24	81065082	22005284	776348	PL	0
2025-06-03 08:22:25	76665783	33812144	664941	RO	0
2025-06-03 08:03:21	99525348	41016157	550284	PL	0
2025-06-03 08:29:31	25362467	37539870	3992595	RO	1
2025-06-03 08:26:57	71385220	79100582	14601287	HU	1
2025-06-03 08:40:43	34418264	60432154	601450	DE	0
2025-06-03 08:52:32	11907143	91935312	461492	SK	0
2025-06-03 08:59:49	45535071	47110167	258802	PL	0
2025-06-03 08:25:25	43419459	19195911	905625	RO	0
2025-06-03 08:39:08	44581625	77661251	6920459	SK	1
2025-06-03 08:13:50	71637191	91875002	298008	HU	0
2025-06-03 08:13:52	91168697	76210783	312208	PL	0
2025-06-03 08:58:59	63258602	18230871	211557	PL	0
2025-06-03 08:14:19	96542162	87279883	521504	RO	0
2025-06-03 08:09:44	10614311	30067609	3987234	RO	1
2025-06-03 08:20:34	50073026	80408791	39504075	PL	1
2025-06-03 08:43:18	95944892	44035277	86703	SK	0
2025-06-03 08:25:08	71505876	81538123	562450	DE	0
2025-06-03 08:21:35	95646255	96459541	253831	DE	0
2025-06-03 08:31:56	17885650	34565152	981802	HU	0
2025-06-03 08:19:11	52306774	94665285	273688	DE	0
2025-06-03 08:36:14	17252798	46696674	163362	PL	0
